fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Type,quality
6.89931,0.289971,0.230012,8.60043,0.055997,56.0028,214.98925,0.9966,3.170159,0.439956,8.80088,Red,5
8.79912,0.589941,0.180009,2.900145,0.088996,12.0006,73.9963,0.99728,3.140157,0.539946,9.40094,White,5
8.9991,0.244976,0.380019,5.900295,0.044998,52.0026,158.99205,0.994901,2.930147,0.349965,10.20102,Red,6
6.89931,0.319968,0.260013,8.300415,0.052997,32.0016,179.991,0.9964,3.250163,0.509949,9.20092,Red,6
6.69933,0.239976,0.330017,12.300615,0.045998,31.00155,144.99275,0.9982,3.360168,0.39996,9.50095,Red,5
6.59934,0.379962,0.290015,2.900145,0.034998,15.00075,100.99495,0.989061,3.040152,0.369963,12.50125,Red,6
6.79932,0.639936,0.100005,2.100105,0.084996,18.0009,100.99495,0.9955,3.340167,0.519948,10.20102,White,5
9.999,0.589941,0.310016,2.20011,0.089996,26.0013,61.9969,0.9993,3.180159,0.629937,10.20102,White,6
11.29887,0.359964,0.660033,2.40012,0.122994,3.00015,7.9996,0.99632,3.20016,0.529947,11.90119,White,6
7.29927,0.269973,0.370019,9.700485,0.041998,36.0018,129.9935,0.9978,3.480174,0.749925,9.90099,Red,6
5.59944,0.329967,0.280014,1.20006,0.030998,33.00165,96.99515,0.991161,3.490175,0.579942,10.90109,Red,6
8.39916,0.339966,0.420021,2.100105,0.071996,23.00115,35.9982,0.993821,3.110156,0.779922,12.40124,White,6
8.9991,0.449955,0.490025,2.60013,0.083996,21.00105,74.99625,0.9986,3.350168,0.569943,9.70097,White,5
6.9993,0.249975,0.450023,2.300115,0.044998,40.002,117.9941,0.990541,3.160158,0.479952,11.90119,Red,7
6.39936,0.179982,0.480024,18.0009,0.053997,56.0028,182.99085,1.00028,2.980149,0.609939,8.50085,Red,6
6.19938,0.359964,0.220011,5.250263,0.037998,44.0022,144.99275,0.991741,3.220161,0.39996,11.20112,Red,6
6.09939,0.124988,0.250013,3.300165,0.039998,10.0005,68.99655,0.993301,3.540177,0.589941,10.10101,Red,6
8.09919,0.19998,0.40002,2.0001,0.036998,19.00095,86.99565,0.992001,3.120156,0.539946,11.20112,Red,6
8.19918,0.349965,0.40002,6.300315,0.038998,35.00175,161.9919,0.993501,3.150158,0.339966,11.90119,Red,7
6.89931,0.19998,0.370019,6.20031,0.026999,24.0012,96.99515,0.991901,3.380169,0.489951,12.20122,Red,7
6.49935,0.319968,0.300015,2.300115,0.050997,20.001,126.99365,0.989541,3.130157,0.519948,12.80128,Red,6
6.59934,0.209979,0.290015,1.80009,0.025999,35.00175,127.9936,0.991731,3.370169,0.479952,11.20112,Red,6
8.9991,0.39996,0.410021,2.0001,0.057997,15.00075,39.998,0.994041,3.220161,0.59994,12.20122,White,6
6.39936,0.219978,0.560028,14.500725,0.054997,27.00135,158.99205,0.9979,2.980149,0.39996,9.10091,Red,5
5.39946,0.289971,0.470024,3.00015,0.051997,47.00235,144.99275,0.992901,3.290165,0.749925,10.001,Red,6
6.89931,0.339966,0.490025,7.300365,0.044998,61.00305,205.9897,0.9956,3.090155,0.39996,9.0009,Red,6
6.59934,0.90491,0.19001,0.80004,0.047998,17.00085,203.9898,0.993301,3.340167,0.559944,10.001,Red,5
5.69943,0.219978,0.290015,3.500175,0.039998,27.00135,145.9927,0.989891,3.170159,0.359964,12.10121,Red,6
6.19938,0.249975,0.480024,10.0005,0.043998,78.0039,239.988,0.99645,3.250163,0.469953,9.50095,Red,6
6.69933,0.109989,0.260013,14.80074,0.052997,44.0022,94.99525,0.99666,3.20016,0.349965,9.80098,Red,6
5.59944,0.179982,0.580029,1.250063,0.033998,29.00145,128.99355,0.989741,3.510176,0.59994,12.0012,Red,7
7.49925,0.419958,0.450023,9.100455,0.028999,20.001,124.99375,0.9959,3.120156,0.359964,10.10101,Red,6
7.19928,0.429957,0.240012,6.700335,0.057997,40.002,162.99185,0.994901,3.20016,0.409959,9.90099,Red,5
6.89931,0.29997,0.290015,1.300065,0.052997,24.0012,188.99055,0.993521,3.290165,0.539946,9.90099,Red,4
6.39936,0.139986,0.280014,7.900395,0.056997,21.00105,81.9959,0.994151,3.260163,0.359964,10.001,Red,6
7.9992,0.419958,0.320016,2.500125,0.079996,26.0013,121.9939,0.99791,3.220161,1.069893,9.70097,White,5
7.39926,0.189981,0.300015,12.80064,0.052997,48.502425,211.9894,0.9985,3.140157,0.489951,9.10091,Red,7
7.69923,0.179982,0.530027,1.20006,0.040998,42.0021,166.99165,0.990701,3.110156,0.439956,11.90119,Red,5
7.09929,0.529947,0.070004,1.700085,0.070996,15.00075,23.9988,0.995,3.290165,0.659934,10.80108,White,6
5.59944,0.254975,0.570029,10.700535,0.055997,66.0033,170.99145,0.994541,3.250163,0.609939,10.40104,Red,7
7.09929,0.229977,0.240012,5.40027,0.038998,60.003,195.9902,0.994701,3.19016,0.779922,10.001,Red,4
7.9992,0.29997,0.630032,1.60008,0.080996,16.0008,28.99855,0.99578,3.300165,0.779922,10.80108,White,6
6.69933,0.369963,0.250013,2.500125,0.027999,24.0012,83.9958,0.990801,3.140157,0.359964,11.70117,Red,6
6.89931,0.329967,0.260013,5.00025,0.026999,46.0023,142.99285,0.992301,3.250163,0.429957,11.20112,Red,7
7.49925,0.329967,0.39002,12.40062,0.064997,29.00145,118.99405,0.9973,3.160158,0.389961,9.40094,Red,5
8.89911,0.49995,0.210011,2.20011,0.087996,21.00105,38.99805,0.99682,3.330167,0.829917,11.10111,White,6
6.39936,0.319968,0.260013,7.900395,0.049998,53.00265,179.991,0.99504,3.140157,0.49995,9.60096,Red,5
6.19938,0.29997,0.330017,3.500175,0.036998,37.00185,154.99225,0.989771,3.180159,0.369963,12.40124,Red,6
6.39936,0.149985,0.40002,1.500075,0.041998,23.00115,86.99565,0.989621,3.110156,0.459954,12.20122,Red,7
7.59924,0.509949,0.150008,2.80014,0.109995,33.00165,72.99635,0.9954,3.170159,0.629937,10.20102,White,6
7.9992,0.259974,0.280014,4.80024,0.049998,34.0017,149.9925,0.994271,3.130157,0.49995,10.001,Red,6
7.39926,0.189981,0.490025,9.300465,0.029999,26.0013,131.9934,0.993901,2.99015,0.319968,11.0011,Red,7
8.59914,0.419958,0.39002,1.80009,0.067997,6.0003,11.9994,0.99506,3.350168,0.689931,11.70117,White,8
6.79932,0.259974,0.40002,7.500375,0.045998,45.00225,178.99105,0.99573,3.20016,0.489951,9.30093,Red,5
5.39946,0.219978,0.350018,6.500325,0.028999,26.0013,86.99565,0.990821,3.290165,0.439956,12.50125,Red,7
8.9991,0.379962,0.410021,2.40012,0.102995,6.0003,9.9995,0.99594,3.130157,0.579942,11.90119,White,7
7.89921,0.279972,0.410021,2.0001,0.043998,50.0025,151.9924,0.993301,3.450173,0.489951,10.70107,Red,8
5.89941,0.269973,0.320016,2.0001,0.033998,31.00155,101.9949,0.989421,3.160158,0.559944,12.30123,Red,6
6.9993,0.159984,0.360018,2.60013,0.028999,28.0014,97.9951,0.991161,3.110156,0.369963,11.20112,Red,7
5.9994,0.309969,0.380019,4.80024,0.039998,41.00205,100.99495,0.989581,3.240162,0.559944,13.10131,Red,6
7.79922,0.209979,0.490025,1.350068,0.051997,6.0003,47.9976,0.991001,3.150158,0.279972,11.40114,Red,5
8.49915,0.469953,0.270014,1.900095,0.057997,18.0009,37.9981,0.99508,3.160158,0.849915,11.10111,White,6
5.79942,0.289971,0.260013,1.700085,0.062997,3.00015,10.99945,0.991401,3.39017,0.539946,13.50135,White,6
5.39946,0.309969,0.470024,3.00015,0.052997,46.0023,143.9928,0.993001,3.290165,0.759924,10.001,Red,5
6.69933,0.239976,0.39002,2.900145,0.172991,63.00315,156.99215,0.993601,3.100155,0.339966,9.40094,Red,6
8.29917,0.489951,0.430022,2.500125,0.035998,32.0016,115.9942,0.994301,3.230162,0.469953,10.70107,Red,6
6.69933,0.409959,0.340017,9.20046,0.048998,29.00145,149.9925,0.9967,3.220161,0.509949,9.10091,Red,5
7.59924,0.429957,0.290015,2.100105,0.074996,19.00095,65.9967,0.99708,3.40017,0.639936,9.50095,White,5
7.39926,0.159984,0.300015,13.700685,0.055997,33.00165,167.9916,0.99815,2.900145,0.439956,8.70087,Red,7
7.19928,0.229977,0.250013,18.80094,0.084996,19.00095,110.99445,1.00034,3.100155,0.509949,8.70087,Red,5
6.69933,0.259974,0.39002,6.40032,0.170991,64.0032,199.99,0.99552,3.19016,0.379962,9.40094,Red,6
5.39946,0.169983,0.270014,2.700135,0.048998,28.0014,103.9948,0.992141,3.460173,0.549945,10.30103,Red,6
7.69923,0.59994,0.060003,2.0001,0.078996,19.00095,40.99795,0.99687,3.39017,0.619938,10.10101,White,6
7.69923,0.279972,0.39002,8.900445,0.035998,8.0004,116.99415,0.993401,3.060153,0.379962,12.0012,Red,7
6.39936,0.279972,0.450023,8.60043,0.056997,47.00235,222.98885,0.99644,3.160158,0.509949,9.10091,Red,5
8.9991,0.39996,0.430022,2.40012,0.067997,29.00145,45.9977,0.994201,3.20016,0.59994,12.20122,White,6
7.19928,0.379962,0.300015,1.80009,0.072996,31.00155,69.9965,0.99675,3.420171,0.589941,9.50095,White,6
11.09889,0.309969,0.490025,2.700135,0.093995,16.0008,46.99765,0.9985,3.120156,1.019898,10.60106,White,7
6.19938,0.179982,0.300015,1.00005,0.030998,23.00115,72.99635,0.990221,3.230162,0.519948,11.30113,Red,6
5.9994,0.209979,0.300015,8.700435,0.035998,47.00235,126.99365,0.993581,3.180159,0.389961,10.60106,Red,5
5.9994,0.409959,0.050003,1.500075,0.062997,17.00085,119.994,0.993101,3.210161,0.559944,9.20092,Red,6
10.49895,0.419958,0.660033,2.950148,0.115994,12.0006,28.99855,0.9969,3.240162,0.749925,11.70117,White,7
6.59934,0.419958,0.330017,2.80014,0.033998,15.00075,84.99575,0.989901,3.280164,0.509949,13.40134,Red,6
7.9992,0.249975,0.270014,9.700485,0.035998,15.00075,84.99575,0.993961,2.99015,0.359964,11.20112,Red,6
6.09939,0.329967,0.300015,3.00015,0.035998,30.0015,123.9938,0.989121,3.310166,0.39996,13.10131,Red,7
6.19938,0.329967,0.270014,4.900245,0.035998,30.0015,133.9933,0.992601,3.20016,0.419958,10.40104,Red,7
6.19938,0.269973,0.320016,8.80044,0.046998,65.00325,223.9888,0.996,3.170159,0.469953,8.90089,Red,5
5.29947,0.714929,0.19001,1.500075,0.160992,7.00035,61.9969,0.993851,3.620181,0.609939,11.0011,White,5
5.59944,0.119988,0.330017,2.900145,0.043998,21.00105,72.99635,0.988861,3.170159,0.319968,12.90129,Red,8
6.09939,0.39996,0.310016,0.900045,0.047998,23.00115,169.9915,0.992901,3.220161,0.769923,9.50095,Red,6
6.09939,0.439956,0.280014,4.250213,0.031998,43.00215,131.9934,0.991501,3.260163,0.469953,11.30113,Red,7
6.59934,0.339966,0.180009,6.40032,0.081996,47.00235,239.988,0.997,3.420171,0.479952,9.20092,Red,5
7.39926,0.359964,0.300015,1.80009,0.073996,17.00085,23.9988,0.994091,3.240162,0.69993,11.40114,White,8
7.19928,0.189981,0.310016,1.40007,0.045998,37.00185,134.99325,0.993801,3.340167,0.569943,10.20102,Red,7
6.89931,0.179982,0.380019,8.100405,0.048998,44.0022,175.9912,0.9957,3.300165,0.539946,9.80098,Red,6
7.89921,0.254975,0.260013,2.0001,0.025999,40.002,189.9905,0.993101,3.040152,0.389961,11.20112,Red,6
7.69923,0.279972,0.350018,15.300765,0.055997,31.00155,116.99415,0.9997,3.270164,0.49995,9.60096,Red,5
7.29927,0.579942,0.300015,2.40012,0.073996,15.00075,54.99725,0.9967,3.460173,0.589941,10.20102,White,5
7.69923,0.529947,0.060003,1.700085,0.073996,9.00045,38.99805,0.99605,3.350168,0.479952,9.80098,White,6
6.69933,0.479952,0.490025,2.900145,0.029999,28.0014,121.9939,0.989161,3.130157,0.39996,13.0013,Red,6
7.79922,0.429957,0.490025,13.00065,0.032998,37.00185,157.9921,0.9954,3.140157,0.349965,11.30113,Red,6
6.69933,0.239976,0.290015,6.80034,0.037998,54.0027,126.99365,0.993101,3.330167,0.459954,11.60116,Red,7
6.89931,0.249975,0.330017,1.20006,0.034998,35.00175,157.9921,0.990721,3.020151,0.579942,11.30113,Red,6
5.9994,0.419958,0.19001,2.0001,0.074996,22.0011,46.99765,0.99512,3.39017,0.779922,10.001,White,6
6.39936,0.309969,0.260013,13.20066,0.045998,57.00285,204.98975,0.9974,3.170159,0.409959,9.60096,Red,5
7.49925,0.349965,0.280014,9.60048,0.050997,26.0013,156.99215,0.9968,3.120156,0.529947,9.20092,Red,6
6.39936,0.309969,0.270014,7.40037,0.048998,48.0024,168.99155,0.993131,3.270164,0.449955,11.10111,Red,6
5.89941,0.169983,0.300015,1.40007,0.041998,25.00125,118.99405,0.993001,3.680184,0.719928,10.50105,Red,6
7.09929,0.279972,0.19001,7.80039,0.039998,48.0024,183.9908,0.99569,3.160158,0.49995,9.40094,Red,5
7.89921,0.19998,0.340017,1.20006,0.039998,29.00145,117.9941,0.993101,3.140157,0.409959,10.60106,Red,6
6.29937,0.169983,0.320016,4.20021,0.039998,37.00185,116.99415,0.991721,3.240162,0.429957,11.30113,Red,6
7.89921,0.259974,0.330017,10.300515,0.038998,73.00365,211.9894,0.9968,2.930147,0.489951,9.50095,Red,6
7.59924,0.29997,0.420021,2.0001,0.051997,6.0003,23.9988,0.9962,3.440172,0.819918,11.90119,White,6
6.69933,0.179982,0.19001,4.700235,0.045998,57.00285,160.99195,0.994501,3.320166,0.659934,10.50105,Red,6
7.49925,0.179982,0.310016,11.700585,0.050997,24.0012,93.9953,0.9969,3.19016,0.439956,9.50095,Red,7
7.09929,0.309969,0.250013,11.20056,0.047998,32.0016,135.9932,0.99653,3.140157,0.39996,9.50095,Red,5
6.39936,0.239976,0.290015,1.00005,0.037998,18.0009,121.9939,0.990501,3.300165,0.419958,11.50115,Red,5
6.89931,0.259974,0.290015,4.20021,0.042998,33.00165,113.9943,0.990101,3.160158,0.309969,12.50125,Red,6
11.09889,0.449955,0.730037,3.20016,0.065997,6.0003,21.9989,0.9985,3.170159,0.659934,11.20112,White,6
6.79932,0.629937,0.070004,2.100105,0.088996,11.00055,43.9978,0.9952,3.470174,0.549945,10.40104,White,6
7.69923,0.509949,0.280014,2.100105,0.086996,23.00115,53.9973,0.9979,3.420171,0.739926,9.20092,White,5
8.19918,0.179982,0.310016,11.80059,0.038998,96.0048,248.98755,0.9975,3.070154,0.519948,9.50095,Red,6
6.69933,0.239976,0.260013,12.60063,0.052997,44.0022,181.9909,0.99792,3.420171,0.419958,9.70097,Red,5
8.69913,0.519948,0.090005,2.500125,0.090995,20.001,48.99755,0.9975,3.340167,0.859914,10.60106,White,7
7.89921,0.179982,0.360018,5.900295,0.057997,31.00155,131.9934,0.994901,3.250163,0.519948,10.90109,Red,6
7.79922,0.259974,0.310016,3.60018,0.024999,22.0011,99.995,0.990561,2.99015,0.469953,12.10121,Red,7
6.89931,0.379962,0.290015,13.650683,0.047998,52.0026,188.99055,0.99774,3.00015,0.59994,9.50095,Red,6
7.09929,0.169983,0.380019,7.40037,0.051997,49.00245,181.9909,0.9957,3.350168,0.519948,9.60096,Red,6
6.59934,0.419958,0.330017,2.80014,0.033998,15.00075,84.99575,0.989901,3.280164,0.509949,13.40134,Red,6
7.49925,0.229977,0.350018,17.80089,0.057997,128.0064,211.9894,1.00231,3.440172,0.429957,8.90089,Red,5
6.49935,0.129987,0.370019,1.00005,0.035998,48.0024,113.9943,0.991001,3.410171,0.509949,11.50115,Red,8
6.29937,0.759924,0,2.900145,0.071996,26.0013,51.9974,0.993691,3.510176,0.59994,11.50115,White,6
6.49935,0.409959,0.240012,14.0007,0.047998,24.0012,112.99435,0.9981,3.440172,0.529947,9.80098,Red,6
7.89921,0.139986,0.450023,1.80009,0.049998,17.00085,113.9943,0.994701,3.330167,0.489951,10.70107,Red,7
7.9992,0.369963,0.320016,1.60008,0.039998,32.0016,165.9917,0.991901,3.00015,0.549945,11.30113,Red,7
6.9993,0.309969,0.350018,1.60008,0.062997,13.00065,118.99405,0.991741,3.220161,0.49995,10.70107,Red,5
7.19928,0.209979,0.370019,1.60008,0.048998,23.00115,93.9953,0.992301,3.160158,0.479952,10.90109,Red,7
6.39936,0.259974,0.210011,8.20041,0.049998,51.00255,181.9909,0.99532,3.230162,0.479952,9.50095,Red,5
7.19928,0.19998,0.310016,10.0005,0.053997,49.00245,164.99175,0.9969,3.40017,0.419958,9.90099,Red,6
6.49935,0.319968,0.340017,5.700285,0.043998,27.00135,90.99545,0.991741,3.280164,0.59994,12.0012,Red,7
7.29927,0.329967,0.470024,2.100105,0.076996,5.00025,10.99945,0.9957,3.330167,0.529947,10.30103,White,6
4.89951,0.469953,0.170009,1.900095,0.034998,60.003,147.9926,0.989541,3.270164,0.349965,11.50115,Red,6
5.9994,0.249975,0.40002,5.700285,0.051997,56.0028,151.9924,0.993881,3.160158,0.879912,10.50105,Red,6
6.59934,0.319968,0.330017,2.500125,0.051997,40.002,209.9895,0.993061,3.150158,0.59994,10.001,Red,5
10.09899,0.369963,0.340017,2.40012,0.084996,5.00025,16.99915,0.99673,3.170159,0.649935,10.60106,White,7
5.79942,1.009899,0.660033,2.0001,0.038998,15.00075,87.9956,0.993471,3.660183,0.59994,11.50115,White,6
5.89941,0.139986,0.250013,4.500225,0.026999,34.0017,139.993,0.993301,3.490175,0.509949,10.80108,Red,6
6.09939,0.714929,0.100005,2.60013,0.052997,13.00065,26.99865,0.993521,3.570179,0.49995,11.90119,White,5
6.79932,0.249975,0.310016,13.300665,0.049998,69.00345,201.9899,0.9971,3.220161,0.479952,9.70097,Red,6
7.19928,0.319968,0.330017,1.40007,0.028999,29.00145,108.99455,0.990101,3.150158,0.509949,12.80128,Red,7
7.69923,0.339966,0.270014,8.80044,0.062997,39.00195,183.9908,0.9968,3.090155,0.629937,9.20092,Red,6
8.89911,0.29997,0.350018,4.60023,0.031998,32.0016,147.9926,0.994481,3.150158,0.449955,11.50115,Red,7
6.69933,0.339966,0.310016,16.40082,0.050997,20.001,145.9927,0.99824,3.060153,0.539946,9.10091,Red,5
7.59924,0.389961,0.310016,2.300115,0.081996,23.00115,70.99645,0.9981,3.520176,0.649935,9.70097,White,5
9.39906,0.159984,0.300015,1.40007,0.041998,26.0013,175.9912,0.9953,3.150158,0.459954,9.10091,Red,5
6.79932,0.349965,0.530027,10.100505,0.052997,37.00185,150.99245,0.9962,3.070154,0.39996,9.40094,Red,5
7.09929,0.19998,0.370019,1.500075,0.048998,28.0014,128.99355,0.992161,3.150158,0.519948,10.80108,Red,5
6.69933,0.19998,0.410021,9.100455,0.043998,50.0025,165.9917,0.9953,3.140157,0.579942,9.80098,Red,6
7.49925,0.409959,0.230012,14.80074,0.053997,28.0014,173.9913,0.99888,3.180159,0.489951,9.70097,Red,5
8.09919,0.819918,0,4.100205,0.094995,5.00025,13.9993,0.99844,3.360168,0.529947,9.60096,White,5
6.59934,0.209979,0.360018,0.80004,0.033998,48.0024,112.99435,0.991551,3.240162,0.679932,10.50105,Red,6
5.69943,0.254975,0.650033,1.20006,0.078996,17.00085,136.99315,0.992971,3.20016,0.419958,9.40094,Red,5
6.59934,0.559944,0.150008,10.0005,0.036998,38.0019,156.99215,0.99632,3.280164,0.519948,9.40094,Red,5
6.19938,0.149985,0.460023,1.60008,0.038998,38.0019,122.99385,0.992901,3.380169,0.509949,9.70097,Red,6
6.79932,0.179982,0.300015,12.80064,0.061997,19.00095,170.99145,0.99798,3.00015,0.519948,9.0009,Red,7
12.29877,0.49995,0.490025,2.20011,0.088996,5.00025,13.9993,1.0001,3.19016,0.439956,9.60096,White,5
6.49935,0.229977,0.250013,17.300865,0.045998,15.00075,109.9945,0.99818,3.150158,0.419958,9.20092,Red,6
7.29927,0.319968,0.480024,13.300665,0.059997,57.00285,195.9902,0.9981,3.040152,0.49995,9.20092,Red,5
10.19898,0.539946,0.370019,15.40077,0.213989,55.00275,94.99525,1.00359,3.180159,0.769923,9.0009,White,6
6.89931,0.379962,0.280014,8.300415,0.061997,22.0011,165.9917,0.99496,3.160158,0.719928,10.60106,Red,5
9.59904,0.539946,0.420021,2.40012,0.080996,25.00125,51.9974,0.9969,3.20016,0.709929,11.40114,White,6
7.59924,0.389961,0.320016,3.60018,0.034998,22.0011,92.99535,0.991341,3.080154,0.59994,12.50125,Red,7
7.49925,0.59994,0.030002,1.80009,0.094995,25.00125,98.99505,0.994901,3.350168,0.539946,10.10101,White,5
7.39926,0.29997,0.300015,5.20026,0.052997,45.00225,162.99185,0.994001,3.120156,0.449955,10.30103,Red,6
7.69923,0.664934,0,2.40012,0.089996,8.0004,18.99905,0.9973,3.270164,0.729927,9.30093,White,5
7.89921,0.179982,0.330017,1.20006,0.032998,20.001,71.9964,0.992101,3.120156,0.379962,10.50105,Red,7
6.9993,0.279972,0.330017,14.60073,0.042998,47.00235,167.9916,0.9993,3.340167,0.669933,8.80088,Red,6
6.09939,0.289971,0.270014,1.700085,0.023999,13.00065,75.9962,0.989201,3.210161,0.509949,12.60126,Red,7
6.79932,0.269973,0.290015,4.60023,0.045998,6.0003,87.9956,0.994481,3.340167,0.479952,10.60106,Red,4
